2022-08-31T19:54:19.023Z | Common Extension Root    | TRACE | query-expfeature <json>{"ABExp.queriedFeature":"vscode.mindaroBinariesVersion-doesnotexist","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:19.024Z | Common Extension Root    | TRACE | Call to ExP returned version 'undefined' <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:19.024Z | Common Extension Root    | TRACE | Resolved expected CLI version '1.0.20220816.2' <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:19.062Z | Common Extension Root    | TRACE | Event: binaries-utility-version-v1 <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:19.064Z | Common Extension Root    | TRACE | Trying to initialize the workspace folder ubuntu for Connect <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:19.065Z | Common Extension Root    | TRACE | Connect initialization started on ubuntu <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:19.066Z | Common Extension Root    | TRACE | Event: connect-initialization-success <json>{"workspacesCommonId":"fc318d38-f5cf-1fe3-c57d-f2994da0ad6c","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:19.083Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:19.086Z | Common Extension Root    | TRACE | Making sure that the CLI is present locally, by downloading it if needed <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:19.090Z | Common Extension Root    | TRACE | Successfully determined the CLI binary path: /home/ubuntu/.vscode-server/data/User/globalStorage/mindaro.mindaro/file-downloader-downloads/binaries/dsc <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:19.091Z | Common Extension Root    | TRACE | Successfully determined the kubectl binary path: /home/ubuntu/.vscode-server/data/User/globalStorage/mindaro.mindaro/file-downloader-downloads/binaries/kubectl/linux/kubectl <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.230Z | Common Extension Root    | TRACE | Event: cli-client-get-version-success <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.231Z | Common Extension Root    | TRACE | Found local CLI version: '1.0.20220816.2'. Expected version: '1.0.20220816.2' <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.231Z | Common Extension Root    | TRACE | Local CLI has version number '1.0.20220816.2', which is equal to the required '1.0.20220816.2' <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.233Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"version --short --client -o json","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.404Z | Common Extension Root    | TRACE | Event: kubectl-client-command-success <json>{"args":"version --short --client -o json","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.405Z | Common Extension Root    | TRACE | Event: kubectl-client-get-version-success <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.405Z | Common Extension Root    | TRACE | Event: binaries-utility-ensure-cli-success <json>{"isUsingLocalBinaries":"false","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.427Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view --minify -o json","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.442Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view --minify -o json","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.687Z | Common Extension Root    | TRACE | Event: kubectl-client-command-success <json>{"args":"config view --minify -o json","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.689Z | Common Extension Root    | TRACE | Event: activation <json>{"workspacesCommonId":"fc318d38-f5cf-1fe3-c57d-f2994da0ad6c","workspaceFoldersCount":"1","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.689Z | Common Extension Root    | TRACE | Extension activated successfully <json>{"remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.751Z | Common Extension Root    | TRACE | Event: kubectl-client-command-success <json>{"args":"config view --minify -o json","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.751Z | Common Extension Root    | TRACE | Event: kubectl-client-command <json>{"args":"config view -o jsonpath={.clusters[*].cluster.server}","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.996Z | Common Extension Root    | TRACE | Event: kubectl-client-command-success <json>{"args":"config view -o jsonpath={.clusters[*].cluster.server}","remoteName":"ssh-remote"}</json>
2022-08-31T19:54:21.997Z | Common Extension Root    | TRACE | Event: kubernetes-panel-customizer-supported-fqdn-evaluation <json>{"currentFqdnDomain":"69.183","clustersCount":1,"fqdnDomains":"69.183","remoteName":"ssh-remote"}</json>
